Rank,Symbol,FullName,MarketCap,Price,Volume24h,Change24h
,BTC,Bitcoin,2145056323846.5771,107555.132157798,18924.21913062,-2.959264123103634
,ETH,Ethereum,448592998003.2287,3716.65975528073,246419.75833325,-4.56013475898457
,XRP,XRP,240965521928.25995,2.40999806254628,119520065.087454,-4.641736577008627
,BNB,Binance Coin,140996905551.89584,1023.6618103948,2881.9579643,-6.2346524682428
,SOL,Solana,107681647401.38562,175.587111926472,1847602.77302401,-6.140717132640532
,TOMI,tomiNet,44680223095.4689,0.0056,0.0,0.0
,HYPE,Hyperliquid,40870772393.11769,40.8901508581375,993.04932826,-4.792726099734643
,STETH,Staked Ether,31917250794.060413,3715.6048749401,171.278341,-4.558585540662074
,TRX,TRON,27815771637.723717,0.293824897087687,7263132.50519466,-0.8993963194686683
,DOGE,Dogecoin,26337487250.66218,0.17371054858559,385735380.849842,-7.241718842987353
,ADA,Cardano,26046637929.737904,0.578814176216398,76985259.5448139,-5.647615677665185
,SUI,Sui,22060455288.404896,2.20604552884049,22522559.4193201,-6.966860474364676
,WBT,WhiteBIT Token,17704901617.936913,55.088999684144,291775.6471199,8.515508650662072
,LINK,Chainlink,16094841228.8657,16.0948412288657,2287379.62015119,-7.812672909496202
,XLM,Stellar,14556076956.837343,0.291111135496092,43743193.1687214,-4.886054452442986
,WBTC,Wrapped Bitcoin,13639384198.511791,107588.5579714081,181.03699125,-2.9176663808039494
,CRO,Cronos,13532357063.748978,0.137906492931783,49095889.925856,-5.404421186321871
,WBETH,Wrapped Beacon ETH,13120996138.064854,4019.56752533611,6665.7608,-4.55130917499703
,WLFI,World Liberty Financial,12640916831.70412,0.126477369235295,40551679.32972,-7.894546404322133
,M,MemeCore,12547950113.502863,2.36862,48318.45708,-2.2455355484661705
,TON,Toncoin,11327723229.480423,2.20181694192589,195910.7603873,-4.863142664175348
,BCH,Bitcoin Cash,10475292175.810982,525.13299321162,25532.19967219,-4.695468876070851
,USDE,Ethena USDe,9267666651.466671,0.9996692254050983,3221210.37596138,-0.08295016409143018
,HBAR,Hedera Hashgraph,9164215303.0744,0.183284306061488,174111804.291598,-6.478402287161311
,LEO,LEO Token,8907810627.55562,9.6578,16824.84144665,0.30117979395147804
,ASTER,Aster,8663200000.0,1.0829,11173.316544,12.22924655404705
,AVAX,Avalanche,8035414858.979232,17.4646946356076,997386.08452495,-7.290776726183862
,MANTLE,Mantle,7999744120.082768,1.28627377956621,1157060.53017,-11.120006759101061
,WLD,Worldcoin,7904277317.272999,0.7904277317273,1608929.41577,-7.537883358894655
,TRUMP,OFFICIAL TRUMP,7841072367.6881075,7.84107813299366,2898592.56498,3.0575285881039505
,LTC,Litecoin,7131217229.934218,93.2441198889523,316844.65137235,-6.973742222661042
,ONDO,Ondo,6465295649.366672,0.646529564936667,13414398.84847,-8.078136569630958
,XMR,Monero,6423594752.194469,344.085846734132,10391.47909844,-5.185700693290437
,ZEC,ZCash,6347639755.975425,387.822078387618,311021.79970088,-6.993001729641326
,XT,XT.com Token,6148930837.27208,6.14893083727208,678813.9667,-4.616978037865268
,SHIB,Shiba Inu,5681347548.538565,9.63582956708498e-06,296601612559.183,-5.405016492356101
,ENA,Ethena,5378013193.55826,0.358534212903884,15841865.2022222,-8.078233903827632
,UNI,Uniswap Protocol Token,5372949950.55205,5.37294995055205,1132055.92529827,-8.45090839891937
,TAO,Bittensor,4751794236.248091,464.71139887373,90783.70489,-7.907248299157987
,DOT,Polkadot,4530216497.852736,2.77379856278944,3151602.04459148,-7.295508693720174
,IP,Story,4241473263.945082,4.17048633652245,340209.51548,-6.134368133540537
,PUMP,Pump.fun,4209755322.793399,0.00420980014800855,4270393814.05069,-7.783652402596994
,VINCI,VINCI,4001050916.270085,13.33683638756695,22357.0,-3.7355900101187993
,BGB,Bitget token,4000577929.1023464,4.348491913678455,3499.8862,-4.068176690731919
,APT,Aptos,3696955376.986371,3.12612129069914,1102142.82318314,-8.312849731601366
,GT,Gatechain Token,3690308637.6157894,12.30102879205263,7132.541,-8.774527237281633
,AAVE,Aave,3380655600.958656,211.290975059916,58253.99521873,-5.876061123806799
,PI,Pi Network,3087481475.079841,0.241899997834493,228691.182643,-3.240000310366527
,XPL,Plasma,2881734357.7404604,0.288173435774046,18901975.2810919,-2.3772047342405562
,OKB,OKB,2833732387.1351814,134.9396374826277,1832.90458003,-6.594159941058357
,ARB,Arbitrum,2827757260.0714846,0.282775754917287,13915761.1518413,-8.580691788928089
,PYUSD,PayPal USD,2807693649.8084135,1.000320258367106,19300754.6212616,0.002778007651437624
,USD1,World Liberty Financial USD,2778268325.896796,0.999395377599964,2950619.38737,-0.001719183064752034
,JUP,Jupiter,2635904911.224738,0.376611095776079,550909.24536635,-9.13882190679304
,NEAR,Near,2596400148.7302933,2.03005848776231,2623855.01278484,-6.672995623819652
,PEPE,Pepe,2556014387.2472925,6.17734074084719e-06,1350754660012.19,-7.796433219647312
,H,Humanity,2480599437.02877,0.248059943702877,2082256.47361,3.3581286494155678
,JITOSOL,Jito Staked SOL,2470661813.884287,217.208849831231,185.18063,-6.3431982077294435
,ETC,Ethereum Classic,2364519045.6243277,15.3365596854283,74916.45042753,-7.226305935479506
,MYX,MYX Finance,2132000000.0,2.132,61.826973,-1.159017153453867
,XDC,XDC Network,2119354242.3849244,0.055727865494912,7802706.05817714,-6.193226012525706
,XAUT,Tether Gold,2096205820.2854922,4015.033099290662,157.10085061,0.3193219811044061
,ICP,Internet Computer,2053664134.7349632,3.80677701666185,8790311.63647253,8.078462687273966
